timestamp,open_binance_btcusdt,high_binance_btcusdt,low_binance_btcusdt,close_binance_btcusdt,volume_binance_btcusdt,buy_volume_binance_btcusdt,trades_binance_btcusdt,open_binance_btcusdt_perpetual,high_binance_btcusdt_perpetual,low_binance_btcusdt_perpetual,close_binance_btcusdt_perpetual,volume_binance_btcusdt_perpetual,buy_volume_binance_btcusdt_perpetual,trades_binance_btcusdt_perpetual,trades_total,volume_total,buy_volume_total,oi,fund_rate,funding_rate_oi_weighted
1719070192.647123 - 1719070275.9816473,64267.36,64267.37,64267.36,64267.36,13567.4826692,0.0,25,64240.3,64240.3,64240.2,64240.3,35075.1884,35075.1884,25,50,48642.6710692,35075.1884,77535.00628,4.1460000000000006e-05,3.2146013603688006
1719070276.0025785 - 1719070348.7883854,64267.36,64267.37,64267.36,64267.36,6385.6053818,0.0,24,64235.2,64235.2,64235.1,64235.2,26914.513699999996,26914.513699999996,24,48,33300.119081799996,26914.513699999996,77539.77066666666,4.146e-05,3.2147988918399997
1719070348.7993524 - 1719070431.2833838,64267.36,64267.37,64267.36,64267.36,4866.9678023,0.0,25,64239.7,64239.8,64239.7,64239.8,34111.3116,34111.3116,25,50,38978.2794023,34111.3116,77537.09816000001,4.1460000000000006e-05,3.2146880897136003
1719070431.2915018 - 1719070514.4367726,64267.36,64267.37,64267.36,64267.37,3508.9979241,3508.9979241,25,64239.8,64239.8,64239.7,64239.7,99057.64529999999,0.0,25,50,102566.64322409999,3508.9979241,77544.61948000001,4.1460000000000006e-05,3.2149999236408
1719070514.4414623 - 1719070595.0288484,64280.07,64280.08,64280.07,64280.08,3599.6844028,3599.6844028,24,64257.4,64257.5,64257.4,64257.5,174201.8244,174201.82439999998,24,48,177801.5088028,177801.50880279997,77546.88854166667,4.146e-05,3.2150939989375
1719070595.0377777 - 1719070676.0640018,64280.07,64280.08,64280.07,64280.08,3131.7253453,3131.7253453,24,64257.5,64257.5,64257.4,64257.4,29751.211799999997,0.0,24,48,32882.9371453,3131.7253453,77544.79970833333,4.146e-05,3.2150073959075
1719070676.070663 - 1719070757.308095,64287.86,64287.87,64287.86,64287.86,2657.0173213,0.0,24,64265.2,64265.3,64265.2,64265.3,25770.3798,25770.379799999995,24,48,28427.397121299997,25770.379799999995,77543.26416666666,4.146e-05,3.2149437323499996
1719070757.3187368 - 1719070840.13116,64289.22,64289.22,64289.21,64289.21,20980.7842027,0.0,24,64260.9,64261.0,64260.9,64260.9,32387.534,0.0,24,48,53368.3182027,0.0,77543.37516666668,4.146e-05,3.2149483344100003
1719070840.143221 - 1719070923.340672,64289.21,64289.22,64289.21,64289.21,16225.9551651,0.0,25,64261.0,64261.0,64260.9,64261.0,42669.3,42669.3,25,50,58895.2551651,42669.3,77541.40292,4.1460000000000006e-05,3.2148665650631996
1719070923.3487267 - 1719071006.3995962,64304.67,64304.67,64304.66,64304.66,4775.907766,0.0,25,64283.8,64283.8,64283.7,64283.7,29441.959,0.0,25,50,34217.866766,0.0,77527.3424,4.1460000000000006e-05,3.2142836159040002
